n_timesteps,LossAfter,Data-EnvTrajs-NumTrajs,Data-EnvTrajs-MaxReturn,Iteration,Policy-TimeSampling,Model-TimeModelFit,Data-EnvTrajs-StdReturn,LossBefore,Data-EnvTrajs-MinReturn,Policy-NumTrajs,Data-TimeEnvSampling,ModelSampler-n_timesteps,Data-EnvSampler-PolicyExecTime,Policy-MaxReturn,Policy-AverageReturn,Policy-StdReturn,Time,Data-EnvSampler-EnvExecTime,Data-EnvTrajs-AverageDiscountedReturn,Policy-AveragePolicyStd,ItrTime,Policy-AverageDiscountedReturn,Data-TimeEnvSampleProc,Policy-MinReturn,Policy-TimeAlgoOpt,Policy-AverageAbsPolicyMean,Policy-TimeStep,Data-EnvTrajs-AverageReturn,Policy-TimeSampleProc
11000,-0.006354915,5,-427.2095938774564,10,1.389648675918579,24.11596393585205,8.928931748735272,-1.2283148e-05,-450.71774294578665,20,1.0899674892425537,440000,0.6060338020324707,-1710105.3694807887,-2519924.3741809153,472570.33739046013,207.9692931175232,0.4548475742340088,-136.26817805634101,0.8267034,27.731924533843994,-553339.1137922391,0.0008852481842041016,-3842769.202569425,0.4973726272583008,1.2426146,2.522066831588745,-433.0119037713363,0.5749270915985107
12000,-0.004479289,5,-414.6859910058188,11,1.745361566543579,32.446678161621094,18.487563366886242,-1.2240428e-05,-463.792290134427,20,0.888465166091919,480000,0.5279598236083984,-881.1924149990082,-2065408.84675724,1300016.3032303283,244.31143069267273,0.3368065357208252,-138.96142872200375,0.82301235,36.33494734764099,-480171.65667711187,0.0008726119995117188,-3509517.9014829993,0.5956785678863525,1.2467856,2.9967682361602783,-440.1425156475968,0.6078376770019531
13000,-0.0025961506,5,-430.5845828092059,12,2.1610910892486572,24.078567266464233,10.727323675825033,-1.2128887e-05,-462.6770138736569,20,0.9595775604248047,520000,0.5927200317382812,-607895.7813038826,-989991.2682521142,230330.73647568238,272.72503328323364,0.3415360450744629,-141.5491788292556,0.81282485,28.404728412628174,-160870.44688833674,0.0008237361907958984,-1318908.2801900506,0.8227453231811523,1.1200325,3.3633830547332764,-448.7029460572493,0.3562040328979492
14000,-0.0031613219,5,-371.8333403006663,13,1.3301830291748047,31.793296337127686,8.14302564834058,-1.21072535e-05,-394.6116381519208,20,1.6107566356658936,560000,0.9234879016876221,-972938.8713176847,-2412731.633239904,584607.530296083,308.4804673194885,0.6385107040405273,-122.34637721949562,0.81002784,35.74880290031433,-524740.1084737696,0.0012173652648925781,-3245816.417949736,0.627471923828125,1.1808425,2.3413679599761963,-383.76476870456054,0.33899664878845215
15000,-0.006941688,5,-323.4778681184184,14,2.273362874984741,32.82403874397278,45.92431083422119,-1.20252025e-05,-447.79058247864333,20,1.0824289321899414,600000,0.6631546020507812,-860811.3552518487,-2272793.408162321,853056.6354424398,346.15766954421997,0.39269256591796875,-110.37065296428435,0.80496305,37.668301820755005,-502793.1615074399,0.0008146762847900391,-3442758.540523231,0.6966273784637451,1.115943,3.7588024139404297,-367.246941048968,0.7466809749603271
16000,-0.006035779,5,-348.10127859510476,15,1.4725396633148193,26.885977506637573,34.10296111579507,-1.1956149e-05,-438.97340142267416,20,1.767369270324707,640000,1.0712289810180664,-509.0911628603935,-663653.0450188719,699356.7229377804,377.3614692687988,0.6537432670593262,-128.69104727495517,0.79757583,31.198096752166748,-116403.39741973489,0.001378774642944336,-2490000.8832675815,0.5224254131317139,0.93412644,2.5417137145996094,-406.5434004178966,0.514915943145752
17000,-0.0035211754,5,-405.69165890322296,16,1.340837001800537,34.920419692993164,4.261866115203995,-1.1943239e-05,-419.10721663439415,20,1.2565765380859375,680000,0.7625870704650879,-563.8424692749977,-2741498.370233342,1006754.7867139401,415.8375053405762,0.45775437355041504,-134.1252391599134,0.79928905,38.46870255470276,-671211.0785587018,0.0006246566772460938,-3911264.621224463,0.5025897026062012,1.2217672,2.2871503829956055,-412.7301402348683,0.400618314743042
18000,-0.0057889647,5,-353.34732211203493,17,2.3311760425567627,29.645278215408325,23.786972083394005,-1.1875071e-05,-421.1302490883648,20,1.2497599124908447,720000,0.7701601982116699,-633.3972244858742,-1668398.9027546258,1003867.9516011676,450.4387626647949,0.44599008560180664,-126.79466663522234,0.79404604,34.595882177352905,-345240.8501379664,0.0010938644409179688,-3640432.9166713357,0.7844874858856201,1.1587136,3.69738507270813,-378.40621454291943,0.5673365592956543
19000,-0.004580577,5,-333.5894614667643,18,1.3794538974761963,27.29954767227173,2.7024291861121292,-1.1776006e-05,-341.6018476283871,20,1.858961582183838,760000,1.1313369274139404,-451.2726392149925,-1516655.8123893098,697934.0199466734,481.9425525665283,0.6810519695281982,-117.29797666419165,0.78381616,31.489279985427856,-286688.97975886276,0.002105236053466797,-2520987.554057896,0.5423336029052734,1.0988222,2.3268425464630127,-338.57498593479147,0.3861374855041504
20000,-0.0055897273,5,-328.9189656249533,19,1.4405431747436523,34.718477725982666,11.504103990767595,-1.1406534e-05,-362.2483480725654,20,1.2946202754974365,800000,0.8084135055541992,-3916474.725675881,-4101284.4951055287,91716.0803346499,520.438873052597,0.4535653591156006,-119.07353471845508,0.7570101,38.49106812477112,-1217402.054999038,0.0008702278137207031,-4211789.903268337,0.5396604537963867,1.296475,2.4728622436523438,-347.49205109953715,0.4609684944152832
21000,-0.007282276,5,-354.7017451555837,20,2.3772313594818115,30.608508348464966,5.14366831441513,-1.10578285e-05,-370.0429852571315,20,1.0678322315216064,840000,0.6521596908569336,-391.71230298280716,-1262019.3152339577,1534264.6514010662,555.9384114742279,0.38993263244628906,-115.96720700630092,0.73195916,35.49455451965332,-306952.12128636026,0.0007581710815429688,-3548422.2970300317,0.8157718181610107,0.9782029,3.8148045539855957,-360.849233253517,0.5994808673858643
22000,-0.0042357068,5,-339.370858796937,21,1.5058400630950928,27.399847745895386,22.479033660685324,-1.078329e-05,-400.68622153583436,20,1.470362901687622,880000,0.873631477355957,-415.4737141132355,-115023.11937323213,499359.06936089136,587.4466140270233,0.5585355758666992,-120.2035760613982,0.7126984,31.496811389923096,-23658.804878677234,0.0012714862823486328,-2291678.83683306,0.5648539066314697,0.725214,2.6230404376983643,-374.478563848505,0.5064041614532471
23000,-0.0049598604,5,-350.8995646056487,22,1.4546606540679932,38.02523589134216,11.485971206352982,-1.0712276e-05,-380.30966878408003,20,0.9655609130859375,920000,0.5704936981201172,-442.2479507923126,-113150.85722780228,341951.5329758876,628.8913080692291,0.36815524101257324,-117.44521454158436,0.70720094,41.43979549407959,-18791.725731205424,0.000690460205078125,-1290618.8667482734,0.5410981178283691,0.8732329,2.4466378688812256,-365.8957359973567,0.4081292152404785
24000,-0.004811427,5,-341.61662006679944,23,2.4444680213928223,28.53012228012085,18.61073167715962,-1.0431238e-05,-389.0895757606361,20,0.9056775569915771,960000,0.5396411418914795,-451.4077810049057,-423470.4351277694,834688.2912384721,662.4454593658447,0.33895397186279297,-117.27103205792703,0.68858397,33.54440116882324,-84462.98481381965,0.0005123615264892578,-2812463.7333422303,0.769279956817627,0.8092502,4.105083703994751,-364.439240093557,0.8292586803436279
25000,-0.005695606,5,-406.21816737117956,24,1.5561330318450928,39.317320108413696,5.941176652454693,-1.0203484e-05,-422.72756615777706,20,1.4678955078125,1000000,0.8579831123352051,-379.3175435066223,-1067275.8416085704,1140398.3768729172,705.7916147708893,0.5683767795562744,-130.03452008230505,0.67226636,43.33873200416565,-223737.65428635356,0.0013566017150878906,-3398763.7944431007,0.49134278297424316,0.84259295,2.5505635738372803,-415.5514036078519,0.46794581413269043
26000,-0.0060192556,5,-409.5875789199558,25,2.68489933013916,29.189117670059204,10.931039909568682,-9.921486e-06,-438.13426072996697,20,0.9461698532104492,1040000,0.5713670253753662,-515.5225995182991,-1430725.6336564794,1287552.7580858727,740.2310192584991,0.34906721115112305,-133.16043771862363,0.6543952,34.432819843292236,-317867.00119860604,0.0007157325744628906,-3675557.01902467,0.7586042881011963,0.93218637,4.294761896133423,-424.7118470664938,0.7895379066467285
27000,-0.00659248,5,-433.1574021962953,26,1.4560184478759766,32.58505320549011,3.4498555743858708,-9.7983e-06,-441.82339741389336,20,1.4730489253997803,1080000,0.866863489151001,-237.42761540412903,-586936.30657508,716715.0841914755,776.894739151001,0.5658445358276367,-134.9835210187128,0.64539015,36.65558433532715,-103160.52115063461,0.0016014575958251953,-1811508.0042169094,0.5058550834655762,0.79891986,2.5935330390930176,-437.1659037333178,0.610816478729248
28000,-0.004987019,5,-415.10826283542474,27,1.7279281616210938,37.240917682647705,13.18483431035026,-9.816505e-06,-454.56423286847735,20,0.9577450752258301,1120000,0.563075065612793,-387.9978397488594,-305506.8921977371,561588.0152721673,817.9295935630798,0.36681222915649414,-135.23393323993199,0.6470006,41.03046369552612,-52502.63471228146,0.0010333061218261719,-1658355.0574658513,0.7027759552001953,0.73244756,2.8288369178771973,-435.9678862414991,0.37892746925354004
29000,-0.0063083824,5,-428.01839355909004,28,2.4938771724700928,28.00412154197693,3.7316508956081496,-9.6591375e-06,-438.94058947012246,20,0.9459810256958008,1160000,0.5683765411376953,-427.29463547468185,-69900.30134756266,302736.41727782734,850.8095800876617,0.3509511947631836,-134.79823097570744,0.63790923,32.87393116950989,-12139.7104579018,0.0009279251098632812,-1389497.749926746,0.8533062934875488,0.6785936,3.9191832542419434,-433.00193148593024,0.5496790409088135
30000,-0.0066208043,5,-421.1300726074346,29,1.5919952392578125,36.73584604263306,6.852656022287049,-9.495702e-06,-440.1461790177614,20,1.5608749389648438,1200000,0.9273631572723389,-410.56453305482864,-76774.85759650469,224328.53332973734,891.5553359985352,0.5936305522918701,-132.90078169718393,0.6249318,40.738375663757324,-11856.42948302699,0.001432180404663086,-932405.4408777952,0.5011906623840332,0.6220376,2.438427686691284,-431.8925996698837,0.3003878593444824
31000,-0.007140951,5,-377.1241566234169,30,2.3919010162353516,34.774500370025635,13.572468035366377,-9.2956225e-06,-415.91739104502454,20,1.059131383895874,1240000,0.653496503829956,-400.0948274433613,-205409.01934267132,617311.3640287126,931.385773897171,0.37793636322021484,-124.16392662314331,0.61455536,39.82543921470642,-40415.5273037156,0.0007586479187011719,-2221167.0277798176,0.775944709777832,0.65905875,3.9889614582061768,-403.21663621999517,0.792982816696167
32000,-0.0072763064,5,-351.7126228148575,31,2.338178873062134,26.58238410949707,13.332081690409403,-9.03765e-06,-382.56631686073393,20,1.2118186950683594,1280000,0.726794958114624,-411.0876376628876,-33576.390549981596,144470.76548028897,963.0987973213196,0.44699692726135254,-116.88549090905057,0.59714353,31.703391313552856,-5154.4394830358215,0.000782012939453125,-663309.8536570668,0.9063253402709961,0.60434353,3.9053308963775635,-365.9678903830173,0.6261124610900879
33000,-0.00513375,5,-353.092551880821,32,1.5219249725341797,38.737733364105225,14.360801237503596,-8.869711e-06,-396.6796131249199,20,1.7244396209716797,1320000,1.037782907485962,-256.5346010327339,-94905.84182224423,412065.6094850338,1005.9837040901184,0.6449356079101562,-120.06146342188636,0.58891815,42.87897777557373,-18065.27143630412,0.0014710426330566406,-1891058.1870414615,0.5564696788787842,0.5569468,2.413527727127075,-378.9395317053215,0.30426454544067383
34000,-0.0044946778,5,-350.6703261290381,33,2.295222759246826,34.087244749069214,10.982377192598701,-8.838818e-06,-382.6077474713109,20,1.0024871826171875,1360000,0.6066553592681885,-349.5042153596878,-1692107.926447929,963714.2731302262,1045.0873200893402,0.3654670715332031,-116.61564597228173,0.5864506,39.09577178955078,-347431.8827580076,0.0009133815765380859,-3272369.212747693,0.7933528423309326,0.6946603,4.002480506896973,-366.5672348527804,0.858574390411377
35000,-0.007620215,5,-293.98516981038387,34,1.6069138050079346,30.309157609939575,21.08733240787699,-8.563566e-06,-359.1031888504828,20,1.6005678176879883,1400000,0.9568984508514404,-395.5896315574646,-424.4714590340853,13.465032944856395,1079.515623807907,0.6021695137023926,-94.75360405937855,0.57111686,34.421353816986084,-131.5744065713106,0.001531839370727539,-442.8843922615051,0.5332205295562744,0.6079062,2.5081989765167236,-325.76457412586603,0.34267163276672363
36000,-0.0042421916,5,-313.3084335187281,35,1.3538460731506348,39.846864461898804,11.549291087134108,-8.396051e-06,-344.1287758181832,20,1.1579773426055908,1440000,0.7086939811706543,-186.33669105172157,-30519.018721786142,96146.17176078238,1122.7870202064514,0.41726183891296387,-92.3924033170626,0.56028163,43.26598596572876,-4387.739802084049,0.0010793209075927734,-402678.35760343075,0.494260311126709,0.34024402,2.258242607116699,-328.61182021412617,0.3711388111114502
37000,-0.005630981,5,-208.13150287492851,36,2.246333599090576,32.5337393283844,19.10806736380321,-8.135725e-06,-255.9892599246476,20,1.12847900390625,1480000,0.7100265026092529,-34.14091246575117,-631.0423477100209,2447.9147083182,1160.233232975006,0.3888270854949951,-49.358302117643575,0.54666466,37.44074010848999,-83.98552321826813,0.0004885196685791016,-11301.042993627489,0.7484419345855713,0.37010416,3.775843381881714,-236.35553573116113,0.7528326511383057
38000,-0.0037828314,5,-166.37937266661282,37,1.3702635765075684,34.15923833847046,19.300471732049978,-7.93154e-06,-219.1762281629062,20,1.940234661102295,1520000,1.1954834461212158,18.561778604984283,-22.732262180373073,30.0806037934823,1198.503356218338,0.6959891319274902,-30.962571959877675,0.5354592,38.26246380805969,12.493063003333903,0.0016541481018066406,-96.57164186239243,0.4950065612792969,0.3994305,2.1558594703674316,-197.96637912255724,0.2565891742706299
39000,-0.009464216,5,102.02607543715679,38,1.2705423831939697,40.56007194519043,16.60470690298327,-7.641895e-06,59.584081249105076,20,1.2933053970336914,1560000,0.8199737071990967,262.8712051808834,-8602.077381113917,36000.34677049378,1242.4343852996826,0.4415919780731201,51.06069136605743,0.51927924,43.92439794540405,-1138.6980306709495,0.007097959518432617,-165261.5379898548,0.4733715057373047,0.546828,2.062115430831909,81.29396341158757,0.27800655364990234
40000,-0.0023579032,5,178.45777986557968,39,2.2464652061462402,30.42330312728882,4.629390807719876,-7.3540664e-06,165.0292221164858,20,1.2675538063049316,1600000,0.8261306285858154,234.39585900306702,198.54195708446204,22.42977866857323,1277.7617633342743,0.4108436107635498,83.90124348761728,0.50519395,35.32138276100159,91.77443945706833,0.0010523796081542969,145.6312107667327,0.8096702098846436,0.41849905,3.626216173171997,172.19022285365975,0.542586088180542
41000,-0.005558892,5,217.68965743362585,40,1.257507085800171,36.831366539001465,4.859238858344728,-7.1353575e-06,204.5383330084169,20,2.0948660373687744,1640000,1.3159475326538086,79.27899885177612,-1306640.1758317524,1080976.9956550957,1318.87238073349,0.7262077331542969,97.72255490737912,0.4932044,41.102529525756836,-267111.61026818585,0.0015382766723632812,-3249308.5640814304,0.5381209850311279,0.8386211,2.1718456745147705,213.9463508516472,0.3546142578125
42000,-0.005976064,5,208.77857864333842,41,2.0966899394989014,38.52527737617493,4.603515261355121,-6.897686e-06,195.71146168383748,20,1.3329105377197266,1680000,0.839447021484375,248.79003259539604,-37540.45769708082,114966.59920794782,1362.1056804656982,0.4587831497192383,95.21415417783771,0.48281845,43.22396636009216,-5375.590607192375,0.0006690025329589844,-450864.05055755377,0.7080874443054199,0.53236926,3.3630378246307373,203.61702331829034,0.49959278106689453
43000,-0.009532735,5,212.6976680208228,42,1.3812005519866943,29.694456338882446,2.69867658894938,-6.910402e-06,205.4583156504266,20,2.028218984603882,1720000,1.242187738418579,166.31978744268417,-284393.91929318197,532097.4124702895,1396.1273527145386,0.7377471923828125,95.95780055233406,0.48325875,34.01554465293884,-48537.831340706856,0.0008976459503173828,-2009639.995440036,0.5776536464691162,0.6175514,2.287554979324341,209.39659481257914,0.3133668899536133
44000,-0.0068628453,5,195.70748829240313,43,1.4756333827972412,36.78925633430481,2.5731195609808726,-6.9976622e-06,188.75393571457408,20,2.053874969482422,1760000,1.2713901996612549,-2216667.138937801,-3125832.5129219578,394067.7772350845,1437.3779289722443,0.7314705848693848,87.00496394967941,0.48730627,41.24354338645935,-767708.0992112356,0.0016906261444091797,-3589088.9812933505,0.49657654762268066,1.1535369,2.3964955806732178,191.75696478263382,0.41045522689819336
45000,-0.008794795,5,94.31397191410139,44,1.50779128074646,40.62107968330383,17.397026360769438,-7.011334e-06,52.797332158856946,20,1.3647384643554688,1800000,0.8623595237731934,-215.98856088519096,-45480.12612588424,196754.56055843196,1481.9106614589691,0.4678170680999756,44.26159197903171,0.4864297,44.527466773986816,-7213.962582101635,0.0008661746978759766,-903113.3489481807,0.5275242328643799,0.4851004,2.5386881828308105,73.01107022465266,0.4626753330230713
46000,-0.0061030034,5,164.39708965044417,45,2.186389684677124,30.5759174823761,6.749276550660928,-6.854834e-06,144.9547754625346,20,1.3532590866088867,1840000,0.8747081756591797,-211.9804877191782,-1357256.5971938982,1071026.170500926,1517.5801389217377,0.4451122283935547,71.71809309849013,0.48056608,35.662028074264526,-274463.23434943164,0.0008137226104736328,-2860078.6147652864,0.7534158229827881,0.6219456,3.729858160018921,151.7486155825381,0.7495241165161133
47000,-0.0071053747,5,167.52325230350135,46,1.3310019969940186,40.68073034286499,6.424482697969542,-6.6792004e-06,149.91530789341718,20,2.143693208694458,1880000,1.3573501110076904,-3434687.2131052613,-4027042.996250634,421986.6724252342,1562.6689069271088,0.7384781837463379,70.24494256455905,0.47195014,45.08035707473755,-1186123.2897841444,0.001649618148803711,-4727211.45041883,0.500004768371582,1.1501887,2.252439498901367,155.7457638013762,0.3706033229827881
48000,-0.008769572,5,137.14479563607716,47,2.1479525566101074,36.84964179992676,5.7635749700557515,-6.600415e-06,123.14485782895092,20,1.2839462757110596,1920000,0.8212764263153076,-270.902898453176,-383500.3415756311,975231.5866576119,1604.4977095127106,0.42896461486816406,61.53131545552784,0.46799174,41.82196855545044,-91826.6640452375,0.0009553432464599609,-4025728.1758093834,0.7703800201416016,1.0344836,3.6827521324157715,131.67975677322372,0.7458767890930176
49000,-0.007126964,5,179.47606476187414,48,1.3933351039886475,33.694140911102295,6.821965098438408,-6.7414835e-06,159.8738884908022,20,2.0827040672302246,1960000,1.2780606746673584,-4822593.747805148,-5009472.756393909,88200.90965441531,1642.6058728694916,0.742379903793335,77.87348173230384,0.4746486,38.09424114227295,-1796162.7990708214,0.0015673637390136719,-5131602.786334157,0.567918062210083,1.5243816,2.313774347305298,169.40239915714503,0.32842302322387695
50000,-0.007071846,5,195.09378973352116,49,1.3716819286346436,41.32272529602051,4.255803260995557,-6.754314e-06,182.62392664223776,20,1.3119902610778809,2000000,0.8440210819244385,-567.1085468828678,-2721439.6363532627,1323340.0117327329,1687.5333478450775,0.43416571617126465,86.10969098753148,0.47485295,44.92249059677124,-716039.3007885658,0.0009951591491699219,-4987255.178837687,0.5857429504394531,1.0789086,2.281308889389038,188.38171300794335,0.2882039546966553
51000,-0.0041491673,5,194.30442025008125,50,1.091853380203247,24.93012809753418,2.32818537584074,-6.586705e-06,188.1141955882237,20,1.326115369796753,2040000,0.8627960681915283,-4014554.0985407233,-4323090.468424918,336638.6382129325,1715.8537616729736,0.429027795791626,87.79134096544735,0.46763468,28.303043842315674,-1348269.0353052793,0.0007874965667724609,-5407621.825159311,0.6661913394927979,1.1489635,2.0438356399536133,191.49207297085823,0.2740936279296875
